,collocate,frequency,score
0,crispr,45,1.9184602008929617
1,base,34,1.5647265618591764
2,system,32,1.4857324257904285
3,suppression,23,1.2805011527416068
4,malaria,17,1.2340191336786774
5,cas,35,1.113931039166369
6,esvelt,13,1.1070120637521343
7,population,37,1.076250956035526
8,gm,12,1.0711759339121756
9,church,12,1.0635827880515323
10,km,12,1.055989642190889
11,home,34,1.0414504655295675
12,mosquito,18,1.0236275714499479
13,melanogaster,16,1.0176921872553626
14,construct,18,1.0050282385488458
15,resistance,28,0.9834059202234755
16,akbari,10,0.9625959334428311
17,evolution,10,0.9376423098210235
18,engineer,13,0.9319258580859279
19,strategy,13,0.9246305995165025
20,usa,10,0.9210065607398182
21,synthetic,11,0.9152028240690626
22,champer,9,0.8947862846406763
23,anopheles,10,0.8877350625774079
24,hammond,8,0.8591120435271032
25,vector,11,0.8438257843005362
26,wild,17,0.8384889833141175
27,propose,9,0.8334116173477376
28,manipulate,7,0.81232477234972
29,genetic,14,0.7551270348444671
30,drosophila,15,0.7476731588967818
31,evolution,7,0.7427324410112434
32,melanogaster,11,0.7248640513529921
33,safe,6,0.7198516122129365
34,modification,6,0.7091132823557377
